DATE,BAR NUMBER,DESCRIPTION
2016-1-4,1,"G down, but bottom of 3 month TR, 2,000 round number. Poss LOD, but prob TR for 1 – 2 hours starting soon."
2016-1-4,2,"bull doji, bad FT so prob BB and TR soon"
2016-1-4,3,-
2016-1-4,4,"MDB 1, f BO LOY, poss LOD, ok swing B, but 4 bar T1B bear so LP, SA, and TR more likely"
2016-1-4,5,-
2016-1-4,6,"DT 2, but prob BB and TR. Ok swing S"
2016-1-4,7,-
2016-1-4,8,"f BO LOY 2eb, poss LOD, ok swing B, but TR most likely. Tgt 7 SX H"
2016-1-4,9,-
2016-1-4,10,"DT 5, LH in bear ch, but 3 cc bull bars, prob BB, LP S"
2016-1-4,11,-
2016-1-4,12,-
2016-1-4,13,"3 cc bear bars, more down, but TR likely so prob BB 8"
2016-1-4,14,-
2016-1-4,15,W 4 8 but big OU doji so poss SW. ok swing B for LOD
2016-1-4,16,another LH but prob BB. Might get bear BO and MMD to 60m HSB MM TGT
2016-1-4,17,-
2016-1-4,18,"BO, more down. G down, which is rare, so should close within a few bars"
2016-1-4,19,-
2016-1-4,20,-
2016-1-4,21,"f BO, 60m MM tgt, SX, poss LOD, but prob need MDB"
2016-1-4,22,"BP S but prob BB, poss LOD"
2016-1-4,23,"OU, ok swing B"
2016-1-4,24,"prob AIL, but TR likely after strong selloff"
2016-1-4,25,-
2016-1-4,26,-
2016-1-4,27,"LH near MA, but TC so prob BB. TR likely so ok B or S if WSS"
2016-1-4,28,-
2016-1-4,29,-
2016-1-4,30,-
2016-1-4,31,-
2016-1-4,32,-
2016-1-4,33,-
2016-1-4,34,"HL MTR, Tri 28 31, but TTRNS. AIL, but need WSS. Bears will S as long as making LH. TR for next 2 hours likely"
2016-1-4,35,-
2016-1-4,36,-
2016-1-4,37,-
2016-1-4,38,-
2016-1-4,39,"BO, more up, poss test OOD for bull reversal day"
2016-1-4,40,"weak FT, TTR likely"
2016-1-4,41,-
2016-1-4,42,"L2T but TC, tgta, LP S"
2016-1-4,43,-
2016-1-4,44,-
2016-1-4,45,"L2 42 but doji, TC, TGTA, prob BB and SW"
2016-1-4,46,-
2016-1-4,47,-
2016-1-4,48,"BP B, DB 43, but TTR. Still AIL, another attempt up likely"
2016-1-4,49,-
2016-1-4,50,-
2016-1-4,51,"LH, but MRV, prob BB"
2016-1-4,52,"Tri 43 48, but TTRNS. Still AIL, but bull leg in TRD so LP B"
2016-1-4,53,-
2016-1-4,54,-
2016-1-4,55,-
2016-1-4,56,"H2 48, but big bar, middle of TTR 40"
2016-1-4,57,-
2016-1-4,58,"OY but big bar, top of TTR, LP"
2016-1-4,59,-
2016-1-4,60,"DT 53, ok swing S, but prob more TR"
2016-1-4,61,-
2016-1-4,62,"W 48 56, but big bear bar so SA"
2016-1-4,63,-
2016-1-4,64,-
2016-1-4,65,-
2016-1-4,66,-
2016-1-4,67,-
2016-1-4,68,-
2016-1-4,69,-
2016-1-4,70,-
2016-1-4,71,-
2016-1-4,72,"HL MTR, MW 65 67, good SB, ok B"
2016-1-4,73,"strong bull BO, AIL, poss BTC for test OOD"
2016-1-4,74,"FT, BTC"
2016-1-5,1,"F BO HOY, CSX, but doji, 10 bar bull MC, prob SW. TGTA are top of G and 60ma, and below are BOP 46 H, 2000, and ma. Poss LOM. TR likely soon after Y CBX"
2016-1-5,2,"f BO HOY 2es but TTR, poss BB. LPS"
2016-1-5,3,-
2016-1-5,4,"f BO HOY, MDT, ok swing S for test MA, 78 L bottom of last BX, and 48 H and 60 H BOP. TR likely soon"
2016-1-5,5,"big bear bar, CC bear bars, AIS, TGTB"
2016-1-5,6,-
2016-1-5,7,-
2016-1-5,8,"ORV at MA, H2 2, but 5 bear bars, TGTB, SA"
2016-1-5,9,-
2016-1-5,10,"BP S but doji, at MA, prob TR soon, but AIL, TGTB"
2016-1-5,11,-
2016-1-5,12,-
2016-1-5,13,"PW 2 8 at MA, MAG, prob bounce to above 3 L soon, but TC, tail, so prob will get LH. Ok B if WSS, expecting TR. Less likely, LOD and then bull trend"
2016-1-5,14,"big bar, more up, but TR likely"
2016-1-5,15,-
2016-1-5,16,-
2016-1-5,17,-
2016-1-5,18,"LH MTR but 5 bull bars so prob BB, but TR so prob will fall below 10 H BOP"
2016-1-5,19,-
2016-1-5,20,"3 cc bear bars with COL, more down"
2016-1-5,21,-
2016-1-5,22,-
2016-1-5,23,"HL, in B zone at bottom of TR. Bears will exit above. Prob BB and below 13, then more TR"
2016-1-5,24,-
2016-1-5,25,-
2016-1-5,26,"Tri 1 17, ok swing S, but prob more SW"
2016-1-5,27,-
2016-1-5,28,"Tri, big bull bar, but too big so LP P"
2016-1-5,29,"DT 28, C below MA, but TTRN, ok swing S"
2016-1-5,30,-
2016-1-5,31,"big bear BO, more down, but TRD likely"
2016-1-5,32,"FT, more down, but prob BB 13 and SW"
2016-1-5,33,-
2016-1-5,34,"H2 13, but 6 bear bars so BB2, prob SA near MA"
2016-1-5,35,-
2016-1-5,36,-
2016-1-5,37,-
2016-1-5,38,L2 but prob BB 34 and below 38. LP S
2016-1-5,39,-
2016-1-5,40,-
2016-1-5,41,-
2016-1-5,42,-
2016-1-5,43,AIL for test 26 H and poss HOD
2016-1-5,44,-
2016-1-5,45,"L2 38 but poss bull ch. Prob still AIL, ok swing B, LPS"
2016-1-5,46,-
2016-1-5,47,-
2016-1-5,48,-
2016-1-5,49,-
2016-1-5,50,-
2016-1-5,51,"BO, more up, but might get PB because TRD. Bulls want L1=2 from Y L1. TRD so bulls BB and bear SA, wide stop, scale in, scalp"
2016-1-5,52,-
2016-1-5,53,-
2016-1-5,54,"W 38 43 but big BO, BB"
2016-1-5,55,-
2016-1-5,56,"BP B for 2LU, but need stop below 61 or 47"
2016-1-5,57,-
2016-1-5,58,-
2016-1-5,59,-
2016-1-5,60,"L4 at 60ma. Ok swing S for 2LSD, but prob SW since TC"
2016-1-5,61,"big bear bar, SA, more down"
2016-1-5,62,-
2016-1-5,63,-
2016-1-5,64,"BP B at MA but 4 bear bars and 2LD likely so SA, but BB 64 and 56 since TRD"
2016-1-5,65,-
2016-1-5,66,-
2016-1-5,67,-
2016-1-5,68,"H2 64, f BO 56, but TC"
2016-1-5,69,-
2016-1-5,70,-
2016-1-5,71,-
2016-1-5,72,"PW 64 68, TRD, but bead body"
2016-1-6,1,"big G down, bull body, but tail so prob LOM"
2016-1-6,2,"big OU, cc bull bars, AIL, but need FT, else TTR"
